extraction_ID,alternative_ID,source,collection_year,collection_month,collection_day,location1,location2,location3,longitude,latitude,sample_type,depth,time_of_day,project,collected_by,extraction_by,extraction_date,plate_or_vial,extraction_plate,extraction_well,dna_conc_ng_uL,additional_metadata,accompanying_data
e00001,,water,,,,ABL_Aquarium,,,,,sample,,,ABL_aquaria,DSB,MP,2021_07_21,vial,,,,,
e00002,,water,,,,ABL_Aquarium,,,,,sample,,,ABL_aquaria,DSB,MP,2021_07_21,vial,,,,,
e00003,,water,,,,ABL_Aquarium,,,,,sample,,,ABL_aquaria,DSB,MP,2021_07_21,vial,,,,,
e00004,,water,,,,ABL_Aquarium,,,,,sample,,,ABL_aquaria,DSB,MP,2021_07_21,vial,,,,,
e00005,,water,,,,ABL_Aquarium,,,,,sample,,,ABL_aquaria,DSB,MP,2021_07_21,vial,,,,,
e00006,,water,,,,ABL_Aquarium,,,,,sample,,,ABL_aquaria,DSB,MP,2021_07_21,vial,,,,,
e00007,,water,,,,ABL_Aquarium,,,,,sample,,,ABL_aquaria,DSB,MP,2021_07_21,vial,,,,,
e00008,field_blank,water,,,,ABL_Aquarium,,,,,field_blank,,,ABL_aquaria,DSB,MP,2021_07_21,vial,,,,,
e00009,extraction_blank,water,,,,ABL_Aquarium,,,,,extraction_blank,,,ABL_aquaria,DSB,MP,2021_07_21,vial,,,,,
e00010,,water,,,,ABL_Aquarium,,,,,sample,,,ABL_aquaria,DSB,MP,2021_07_21,vial,,,,,
e00011,,water,,,,ABL_Aquarium,,,,,sample,,,ABL_aquaria,DSB,MP,2021_07_21,vial,,,,,
e00012,,water,,,,ABL_Aquarium,,,,,sample,,,ABL_aquaria,DSB,MP,2021_07_21,vial,,,,,
e00013,,water,,,,ABL_Aquarium,,,,,sample,,,ABL_aquaria,DSB,MP,2021_07_21,vial,,,,,
e00014,,water,,,,ABL_Aquarium,,,,,sample,,,ABL_aquaria,DSB,MP,2021_07_21,vial,,,,,
e00015,,water,,,,ABL_Aquarium,,,,,sample,,,ABL_aquaria,DSB,MP,2021_07_21,vial,,,,,
e00016,,water,,,,ABL_Aquarium,,,,,sample,,,ABL_aquaria,DSB,MP,2021_07_21,vial,,,,,
e00017,field_blank,water,,,,ABL_Aquarium,,,,,field_blank,,,ABL_aquaria,DSB,MP,2021_07_21,vial,,,,,
e00018,extraction_blank,water,,,,ABL_Aquarium,,,,,extraction_blank,,,ABL_aquaria,DSB,MP,2021_07_21,vial,,,,,
e00019,,water,2021,5,10,Amalga_Harbor,1120m,,,,sample,,PM,Amalga,PPB,MP,2021_07_22,vial,,,,,
e00020,,water,2021,5,10,Amalga_Harbor,1120m,,,,sample,,PM,Amalga,PPB,MP,2021_07_22,vial,,,,,
e00021,,water,2021,5,10,Amalga_Harbor,1120m,,,,sample,,PM,Amalga,PPB,MP,2021_07_22,vial,,,,,
e00022,,water,2021,5,10,Amalga_Harbor,1200m,,,,sample,,PM,Amalga,,MP,2021_07_22,vial,,,,,
e00023,,water,2021,5,10,Amalga_Harbor,1200m,,,,sample,,PM,Amalga,,MP,2021_07_22,vial,,,,,
e00024,,water,2021,5,10,Amalga_Harbor,1200m,,,,sample,,PM,Amalga,DSB,MP,2021_07_22,vial,,,,,
e00025,,water,2021,5,10,Amalga_Harbor,1280m,,,,sample,,PM,Amalga,,MP,2021_07_22,vial,,,,,
e00026,,water,2021,5,10,Amalga_Harbor,1280m,,,,sample,,PM,Amalga,,MP,2021_07_22,vial,,,,,
e00027,,water,2021,5,10,Amalga_Harbor,1280m,,,,sample,,PM,Amalga,,MP,2021_07_22,vial,,,,,
e00028,,water,2021,5,10,Amalga_Harbor,1360m,,,,sample,,PM,Amalga,,MP,2021_07_22,vial,,,,,
e00029,,water,2021,5,10,Amalga_Harbor,1360m,,,,sample,,PM,Amalga,,MP,2021_07_22,vial,,,,,
e00030,,water,2021,5,10,Amalga_Harbor,1360m,,,,sample,,PM,Amalga,,MP,2021_07_22,vial,,,,,
e00031,,water,2021,5,10,Amalga_Harbor,1440m,,,,sample,,PM,Amalga,DSB,MP,2021_07_22,vial,,,,,
e00032,,water,2021,5,10,Amalga_Harbor,1440m,,,,sample,,PM,Amalga,,MP,2021_07_22,vial,,,,,
e00033,,water,2021,5,10,Amalga_Harbor,1440m,,,,sample,,PM,Amalga,DSB,MP,2021_07_22,vial,,,,,
e00034,,water,2021,5,10,Amalga_Harbor,1520m,,,,sample,,PM,Amalga,,MP,2021_07_22,vial,,,,,
e00035,,water,2021,5,10,Amalga_Harbor,1520m,,,,sample,,PM,Amalga,,MP,2021_07_22,vial,,,,,
e00036,,water,2021,5,10,Amalga_Harbor,1520m,,,,sample,,PM,Amalga,,MP,2021_07_22,vial,,,,,
e00037,,water,2021,5,10,Amalga_Harbor,1600m,,,,sample,,PM,Amalga,,MP,2021_07_22,vial,,,,,
e00038,,water,2021,5,10,Amalga_Harbor,1600m,,,,sample,,PM,Amalga,,MP,2021_07_22,vial,,,,,
e00039,,water,2021,5,10,Amalga_Harbor,1600m,,,,sample,,PM,Amalga,,MP,2021_07_22,vial,,,,,
e00040,extraction_blank,water,,,,,,,,,extraction_blank,,,Amalga,,MP,2021_07_22,vial,,,,,
e00041,extraction_blank,water,,,,,,,,,extraction_blank,,AM,Amalga,,MP,2021_07_23,vial,,,,,
e00042,field_blank,water,2021,5,10,Amalga_Harbor,Peterson_Creek,,,,field_blank,,AM,Amalga,DSB,MP,2021_07_23,vial,,,,,
e00043,,water,2021,5,10,Amalga_Harbor,Peterson_Creek,,,,sample,,AM,Amalga,DSB,MP,2021_07_23,vial,,,,,
e00044,,water,2021,5,10,Amalga_Harbor,Peterson_Creek,,,,sample,,AM,Amalga,DSB,MP,2021_07_23,vial,,,,,
e00045,,water,2021,5,10,Amalga_Harbor,Peterson_Creek,,,,sample,,AM,Amalga,PDB,MP,2021_07_23,vial,,,,,
e00046,btw_pens_and_creek,water,2021,5,10,Amalga_Harbor,100m,btw_pens_and_creek,,,sample,,AM,Amalga,PDB,MP,2021_07_23,vial,,,,,
e00047,btw_pens_and_creek,water,2021,5,10,Amalga_Harbor,100m,btw_pens_and_creek,,,sample,,AM,Amalga,PDB,MP,2021_07_23,vial,,,,,
e00048,btw_pens_and_creek,water,2021,5,10,Amalga_Harbor,100m,btw_pens_and_creek,,,sample,,AM,Amalga,DSB,MP,2021_07_23,vial,,,,,
e00049,,water,2021,5,10,Amalga_Harbor,0m,,,,sample,,AM,Amalga,DSB,MP,2021_07_23,vial,,,,,
e00050,,water,2021,5,10,Amalga_Harbor,0m,,,,sample,,AM,Amalga,DSB,MP,2021_07_23,vial,,,,,
e00051,,water,2021,5,10,Amalga_Harbor,0m,,,,sample,,AM,Amalga,DSB,MP,2021_07_23,vial,,,,,
e00052,,water,2021,5,10,Amalga_Harbor,80m,,,,sample,,AM,Amalga,DSB,MP,2021_07_23,vial,,,,,
e00053,,water,2021,5,10,Amalga_Harbor,80m,,,,sample,,AM,Amalga,DSB,MP,2021_07_23,vial,,,,,
e00054,,water,2021,5,10,Amalga_Harbor,80m,,,,sample,,AM,Amalga,DSB,MP,2021_07_23,vial,,,,,
e00055,,water,2021,5,10,Amalga_Harbor,160m,,,,sample,,AM,Amalga,DSB,MP,2021_07_23,vial,,,,,
e00056,,water,2021,5,10,Amalga_Harbor,160m,,,,sample,,AM,Amalga,DSB,MP,2021_07_23,vial,,,,,
e00057,,water,2021,5,10,Amalga_Harbor,160m,,,,sample,,AM,Amalga,DSB,MP,2021_07_23,vial,,,,,
e00058,,water,2021,5,10,Amalga_Harbor,240m,,,,sample,,AM,Amalga,DSB,MP,2021_07_23,vial,,,,,
e00059,,water,2021,5,10,Amalga_Harbor,240m,,,,sample,,AM,Amalga,DSB,MP,2021_07_23,vial,,,,,
e00060,,water,2021,5,10,Amalga_Harbor,240m,,,,sample,,AM,Amalga,DSB,MP,2021_07_23,vial,,,,,
e00061,field_blank,water,2021,5,10,Amalga_Harbor,,,,,field_blank,,AM,Amalga,DSB,MP,2021_07_23,vial,,,,,
e00062,,water,2021,5,10,Amalga_Harbor,320m,,,,sample,,AM,Amalga,DSB,MP,2021_07_23,vial,,,,,
e00063,,water,2021,5,10,Amalga_Harbor,320m,,,,sample,,AM,Amalga,DSB,MP,2021_07_23,vial,,,,,
e00064,,water,2021,5,10,Amalga_Harbor,320m,,,,sample,,AM,Amalga,DSB,MP,2021_07_23,vial,,,,,
e00065,,water,2021,5,10,Amalga_Harbor,400m,,,,sample,,AM,Amalga,DSB,MP,2021_07_24,vial,,,,,
e00066,,water,2021,5,10,Amalga_Harbor,400m,,,,sample,,AM,Amalga,DSB,MP,2021_07_24,vial,,,,,
e00067,,water,2021,5,10,Amalga_Harbor,400m,,,,sample,,AM,Amalga,DSB,MP,2021_07_24,vial,,,,,
e00068,,water,2021,5,10,Amalga_Harbor,480m,,,,sample,,AM,Amalga,DSB,MP,2021_07_24,vial,,,,,
e00069,,water,2021,5,10,Amalga_Harbor,480m,,,,sample,,AM,Amalga,DSB,MP,2021_07_24,vial,,,,,
e00070,,water,2021,5,10,Amalga_Harbor,480m,,,,sample,,AM,Amalga,DSB,MP,2021_07_24,vial,,,,,
e00071,,water,2021,5,10,Amalga_Harbor,560m,,,,sample,,AM,Amalga,DSB,MP,2021_07_24,vial,,,,,
e00072,,water,2021,5,10,Amalga_Harbor,560m,,,,sample,,AM,Amalga,DSB,MP,2021_07_24,vial,,,,,
e00073,,water,2021,5,10,Amalga_Harbor,560m,,,,sample,,AM,Amalga,DSB,MP,2021_07_24,vial,,,,,
e00074,,water,2021,5,10,Amalga_Harbor,640m,,,,sample,,AM,Amalga,DSB,MP,2021_07_24,vial,,,,,
e00075,,water,2021,5,10,Amalga_Harbor,640m,,,,sample,,AM,Amalga,DSB,MP,2021_07_24,vial,,,,,
e00076,,water,2021,5,10,Amalga_Harbor,640m,,,,sample,,AM,Amalga,DSB,MP,2021_07_24,vial,,,,,
e00077,,water,2021,5,10,Amalga_Harbor,720m,,,,sample,,AM,Amalga,DSB,MP,2021_07_24,vial,,,,,
e00078,,water,2021,5,10,Amalga_Harbor,720m,,,,sample,,AM,Amalga,DSB,MP,2021_07_24,vial,,,,,
e00079,,water,2021,5,10,Amalga_Harbor,720m,,,,sample,,AM,Amalga,DSB,MP,2021_07_24,vial,,,,,
e00080,,water,2021,5,10,Amalga_Harbor,800m,,,,sample,,AM,Amalga,DSB,MP,2021_07_24,vial,,,,,
e00081,,water,2021,5,10,Amalga_Harbor,800m,,,,sample,,AM,Amalga,DSB,MP,2021_07_24,vial,,,,,
e00082,,water,2021,5,10,Amalga_Harbor,800m,,,,sample,,AM,Amalga,DSB,MP,2021_07_24,vial,,,,,
e00083,,water,2021,5,10,Amalga_Harbor,880m,,,,sample,,AM,Amalga,DSB,MP,2021_07_24,vial,,,,,
e00084,,water,2021,5,10,Amalga_Harbor,880m,,,,sample,,AM,Amalga,DSB,MP,2021_07_24,vial,,,,,
e00085,,water,2021,5,10,Amalga_Harbor,880m,,,,sample,,AM,Amalga,DSB,MP,2021_07_24,vial,,,,,
e00086,,water,2021,5,10,Amalga_Harbor,960m,,,,sample,,AM,Amalga,DSB,MP,2021_07_24,vial,,,,,
e00087,,water,2021,5,10,Amalga_Harbor,960m,,,,sample,,AM,Amalga,DSB,MP,2021_07_24,vial,,,,,
e00088,,water,2021,5,10,Amalga_Harbor,960m,,,,sample,,AM,Amalga,DSB,MP,2021_07_24,vial,,,,,
e00089,extraction_blank,water,,,,,,,,,extraction_blank,,,Amalga,,MP,2021_07_25,vial,,,,,
e00090,,water,2021,5,10,Amalga_Harbor,1040m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00091,,water,2021,5,10,Amalga_Harbor,1040m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00092,,water,2021,5,10,Amalga_Harbor,1040m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00093,,water,2021,5,10,Amalga_Harbor,1120m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00094,,water,2021,5,10,Amalga_Harbor,1120m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00095,,water,2021,5,10,Amalga_Harbor,1120m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00096,,water,2021,5,10,Amalga_Harbor,1200m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00097,,water,2021,5,10,Amalga_Harbor,1200m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00098,,water,2021,5,10,Amalga_Harbor,1200m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00099,,water,2021,5,10,Amalga_Harbor,1280m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00100,,water,2021,5,10,Amalga_Harbor,1280m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00101,,water,2021,5,10,Amalga_Harbor,1280m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00102,,water,2021,5,10,Amalga_Harbor,1360m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00103,,water,2021,5,10,Amalga_Harbor,1360m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00104,,water,2021,5,10,Amalga_Harbor,1360m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00105,,water,2021,5,10,Amalga_Harbor,1440m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00106,,water,2021,5,10,Amalga_Harbor,1440m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00107,,water,2021,5,10,Amalga_Harbor,1440m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00108,,water,2021,5,10,Amalga_Harbor,1520m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00109,,water,2021,5,10,Amalga_Harbor,1520m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00110,,water,2021,5,10,Amalga_Harbor,1520m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00111,,water,2021,5,10,Amalga_Harbor,1600m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00112,,water,2021,5,10,Amalga_Harbor,1600m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00113,,water,2021,5,10,Amalga_Harbor,1600m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00114,,water,2021,5,10,Amalga_Harbor,1680m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00115,,water,2021,5,10,Amalga_Harbor,1680m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00116,,water,2021,5,10,Amalga_Harbor,1680m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00117,,water,2021,5,10,Amalga_Harbor,1760m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00118,,water,2021,5,10,Amalga_Harbor,1760m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00119,,water,2021,5,10,Amalga_Harbor,1760m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00120,,water,2021,5,10,Amalga_Harbor,1840m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00121,,water,2021,5,10,Amalga_Harbor,1840m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00122,,water,2021,5,10,Amalga_Harbor,1840m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00123,,water,2021,5,10,Amalga_Harbor,1920m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00124,,water,2021,5,10,Amalga_Harbor,1920m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00125,,water,2021,5,10,Amalga_Harbor,1920m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00126,,water,2021,5,10,Amalga_Harbor,2000m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00127,,water,2021,5,10,Amalga_Harbor,2000m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00128,,water,2021,5,10,Amalga_Harbor,2000m,,,,sample,,AM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00129,extraction_blank,water,2021,5,10,Amalga_Harbor,,,,,extraction_blank,,,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00130,field_blank,water,2021,5,10,Amalga_Harbor,,,,,field_blank,,PM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00131,btw_pens_and_creek,water,2021,5,10,Amalga_Harbor,btw_pens_and_creek,,,,sample,,PM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00132,btw_pens_and_creek,water,2021,5,10,Amalga_Harbor,btw_pens_and_creek,,,,sample,,PM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00133,btw_pens_and_creek,water,2021,5,10,Amalga_Harbor,btw_pens_and_creek,,,,sample,,PM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00134,,water,2021,5,10,Amalga_Harbor,0m,,,,sample,,PM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00135,,water,2021,5,10,Amalga_Harbor,0m,,,,sample,,PM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00136,,water,2021,5,10,Amalga_Harbor,0m,,,,sample,,PM,Amalga,DSB,MP,2021_07_25,vial,,,,,
e00137,,water,2021,5,10,Amalga_Harbor,80m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00138,,water,2021,5,10,Amalga_Harbor,80m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00139,,water,2021,5,10,Amalga_Harbor,80m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
e00140,,water,2021,5,10,Amalga_Harbor,160m,,,,sample,,PM,Amalga,,MP,2021_07_26,vial,,,,,
