extraction_ID,lat,lon,Year,Month,Day,Transect,StationKM,DepthM,SampleNumber,SampleType,Sampler1,Sampler2,Notes,source,collection_year,collection_month,collection_day,location1,location2,location3,longitude,latitude,sample_type,depth,time_of_day,project,collected_by,extraction_by,extraction_date,plate_or_vial,extraction_plate,extraction_well,dna_conc_ng_uL,additional_metadata,accompanying_data
e02598,53.397396388888886,-169.24849749999998,2023,8,7,west,100.0,15,1,eDNA,D. Baetscher,T. Zeppelin,Niskin top didn't close,water,2023,8,7,Bogoslof,west,100,NA,NA,sample,15,NA,Bogo fur seal eDNA,D. Baetscher,JLM,10/10/2023,vial,29_2023,A1,NA,NA,NA
e02599,53.397396388888886,-169.24849749999998,2023,8,7,west,100.0,15,2,eDNA,D. Baetscher,T. Zeppelin,Niskin top didn't close,water,2023,8,7,Bogoslof,west,100,NA,NA,sample,15,NA,Bogo fur seal eDNA,D. Baetscher,JLM,10/10/2023,vial,29_2023,B1,NA,NA,NA
e02600,53.397396388888886,-169.24849749999998,2023,8,7,west,100.0,15,3,eDNA,D. Baetscher,T. Zeppelin,Niskin top didn't close,water,2023,8,7,Bogoslof,west,100,NA,NA,sample,15,NA,Bogo fur seal eDNA,D. Baetscher,JLM,10/10/2023,vial,29_2023,C1,NA,NA,NA
e02601,NA,NA,2023,8,7,west,NA,15,4,FieldBlank,D. Baetscher,T. Zeppelin,NA,water,2023,8,7,Bogoslof,west,NA,NA,NA,field_blank,15,NA,Bogo fur seal eDNA,D. Baetscher,JLM,10/10/2023,vial,29_2023,D1,NA,NA,NA
e02602,53.45132916666667,-169.1278275,2023,8,7,west,90.0,15,5,eDNA,D. Baetscher,T. Zeppelin,NA,water,2023,8,7,Bogoslof,west,90,NA,NA,sample,15,NA,Bogo fur seal eDNA,D. Baetscher,JLM,10/11/2023,vial,29_2023,E1,NA,NA,NA
e02603,53.45132916666667,-169.1278275,2023,8,7,west,90.0,15,6,eDNA,D. Baetscher,T. Zeppelin,NA,water,2023,8,7,Bogoslof,west,90,NA,NA,sample,15,NA,Bogo fur seal eDNA,D. Baetscher,JLM,10/11/2023,vial,29_2023,F1,NA,NA,NA
e02604,53.45132916666667,-169.1278275,2023,8,7,west,90.0,15,7,eDNA,D. Baetscher,T. Zeppelin,NA,water,2023,8,7,Bogoslof,west,90,NA,NA,sample,15,NA,Bogo fur seal eDNA,D. Baetscher,JLM,10/11/2023,vial,29_2023,G1,NA,NA,NA
e02605,54.08283083333334,-168.59420944444446,2023,8,7,northwest,40.0,15,8,eDNA,D. Baetscher,T. Zeppelin,NA,water,2023,8,7,Bogoslof,northwest,40,NA,NA,sample,15,NA,Bogo fur seal eDNA,D. Baetscher,JLM,10/11/2023,vial,29_2023,H1,NA,NA,NA
e02606,54.08283083333334,-168.59420944444446,2023,8,7,northwest,40.0,15,9,eDNA,D. Baetscher,T. Zeppelin,NA,water,2023,8,7,Bogoslof,northwest,40,NA,NA,sample,15,NA,Bogo fur seal eDNA,D. Baetscher,JLM,10/11/2023,vial,29_2023,A2,NA,NA,NA
e02607,54.08283083333334,-168.59420944444446,2023,8,7,northwest,40.0,15,10,eDNA,D. Baetscher,T. Zeppelin,NA,water,2023,8,7,Bogoslof,northwest,40,NA,NA,sample,15,NA,Bogo fur seal eDNA,D. Baetscher,JLM,10/11/2023,vial,29_2023,B2,NA,NA,NA
